Stock,CAGR,WinRate,MaxDrawdown
A,0.07130600040866164,0.5239941832283083,-0.37819206241643727
AAPL,0.20200491397154696,0.5357478833490122,-0.30120623633568605
ABBV,0.05895764640915746,0.5317809943360604,-0.4845796946040247
ABNB,-0.05308449418036498,0.4962025316455696,-0.5727953786599148
ABT,0.09108166976263177,0.5317341329335332,-0.3233864621568182
ACGL,0.08574945299121328,0.5455412494039104,-0.338131888463764
ACN,0.08404267252755537,0.5368026254102204,-0.2456174515336983
ADBE,0.12601734094647488,0.5277264325323475,-0.3922018741545147
ADI,0.10318381297654433,0.5195979899497487,-0.2982698941448042
ADM,0.029476067949772533,0.5256475368207212,-0.42998568577336166
ADP,0.11721372471630609,0.5409532623785285,-0.24279463174895452
ADSK,0.09481211329177164,0.5239551478083588,-0.4807814138539693
AEE,0.029301816841818207,0.5323705179282868,-0.3220494275338231
AEP,0.06407406966922169,0.540258449304175,-0.26962174702961667
AES,0.03112228290215313,0.5189535504538174,-0.4633809702185016
AFL,0.0522168300423691,0.5354025218234724,-0.27979139813506193
AIG,0.052459663789026445,0.5141579731743666,-0.40671523013968663
AIZ,0.04753576829430206,0.5359010936757014,-0.44793726945948475
AJG,0.1376326760141915,0.5559666975023126,-0.2130018914437542
AKAM,0.05413950395337186,0.5310274669379451,-0.4700053459002789
ALB,0.033493245975291686,0.5325224748810153,-0.5142395153153335
ALGN,0.19861197635091488,0.5150766188828473,-0.5276444167195649
ALL,0.08304561692105183,0.532007759456838,-0.4942517756989923
ALLE,-0.018371538228556195,0.5059565522074282,-0.5409033415926474
AMAT,0.0773029386005415,0.5232088799192735,-0.47279398173833626
AMCR,0.006402095429339116,0.506631299734748,-0.4015484215150879
AMD,0.11666749832756751,0.5015940488841658,-0.6815892974867481
AME,0.0979286474885872,0.5297005400098184,-0.29527910664995727
AMGN,0.06003875890076249,0.5087001023541453,-0.37107652717900214
AMP,0.1324849307720637,0.5186621425109065,-0.4353069504303478
AMT,0.055094849360961984,0.5223955712128837,-0.3936626956529603
AMZN,0.10160514828145994,0.5192678227360308,-0.41994100157849634
ANET,0.14458061842228354,0.537334263782275,-0.5054103692314356
ANSS,0.0869253042384639,0.5310210063507572,-0.4834064293848525
AON,0.05872129043824059,0.5390138822403063,-0.24041818550702107
AOS,0.07104259914869293,0.530472940029254,-0.471078526409154
APA,0.05511964734331287,0.511842865395725,-0.7354736350756683
APD,0.04881965209214756,0.526128868594622,-0.35045337657922854
APH,0.13893584856333385,0.5318546484190656,-0.24338802694218137
APO,0.1176928302584892,0.5367892976588629,-0.5666087674328175
APTV,0.09982863309901213,0.5253272623790552,-0.592689168196699
ARE,0.051544505752570746,0.5276283618581907,-0.3566883195931066
ATO,0.06603639519363469,0.5374117647058824,-0.23662157322396005
AVB,0.030872029538546064,0.5305232558139535,-0.3366994956529314
AVGO,0.23715461842209296,0.5384976525821596,-0.33136994560841737
AVY,0.09085564044480265,0.5286063569682151,-0.2668372220341247
AWK,0.0788491278692236,0.540401681457263,-0.24855919206566485
AXON,0.09015393782167558,0.5176594623089088,-0.6808053427128691
AXP,0.02484330103928456,0.5169533169533169,-0.46786809960091263
AZO,0.12051826962880496,0.531615925058548,-0.3394215991084145
BA,0.17004584077800122,0.5199193141704488,-0.5028205181287969
BAC,0.10303360472636447,0.5120643431635389,-0.5001191558832712
BALL,0.06424363804769939,0.5273937532002048,-0.5526349592431193
BAX,-0.01594840346795079,0.52250885179565,-0.7145138100750743
BBY,0.06001175778654666,0.522256728778468,-0.615740530349573
BDX,0.013626240348584284,0.5327336331834083,-0.41526266465865586
BEN,0.03825063735048562,0.5233644859813084,-0.6623233579228326
BF-B,0.04111464126236508,0.5264227642276422,-0.23294899961348456
BG,0.02295961575763017,0.5156081808396125,-0.5322997693756936
BIIB,-0.03397651235278476,0.49294245385450597,-0.9049488274606118
