Date,Close,Volume
,CEG,CEG
2022-12-30,84.31206512451172,1343300
2023-01-03,80.10674285888672,4030600
2023-01-04,81.57371520996094,2612200
2023-01-05,80.5957260131836,1906300
2023-01-06,81.66173553466797,1914100
2023-01-09,82.15072631835938,1301500
2023-01-10,81.25096893310547,1376700
2023-01-11,82.25831604003906,1696200
2023-01-12,82.48323822021484,1496700
2023-01-13,83.28517150878906,1366200
2023-01-17,81.53459167480469,2763600
2023-01-18,80.04804992675781,2084900
2023-01-19,79.0602798461914,1635500
2023-01-20,81.1727294921875,1795100
2023-01-23,82.28763580322266,1596200
2023-01-24,82.06269836425781,1176000
2023-01-25,81.56393432617188,1535200
2023-01-26,83.98934173583984,2161100
2023-01-27,84.6739273071289,1455100
2023-01-30,80.58594512939453,3045800
2023-01-31,83.48078155517578,2509000
2023-02-01,83.52969360351562,2623400
2023-02-02,83.4514389038086,2389600
2023-02-03,81.36833190917969,1807200
2023-02-06,81.42703247070312,1502000
2023-02-07,84.03824615478516,2032900
2023-02-08,82.48323822021484,2005900
2023-02-09,82.56147766113281,1975000
2023-02-10,84.89887237548828,1350300
2023-02-13,84.48810577392578,1173500
2023-02-14,84.16537475585938,2383100
2023-02-15,84.1164779663086,2030600
2023-02-16,83.74483489990234,3037600
2023-02-17,82.6886215209961,3570700
2023-02-21,78.60064697265625,5056000
2023-02-22,76.08721923828125,3341000
2023-02-23,77.47594451904297,1584900
2023-02-24,77.80179595947266,1529100
2023-02-27,76.91847229003906,1326200
2023-02-28,73.5029296875,3584800
2023-03-01,72.97291564941406,2594400
2023-03-02,74.76903533935547,1949900
2023-03-03,77.51718139648438,2304600
2023-03-06,77.34051513671875,2295000
2023-03-07,76.4571762084961,2203900
2023-03-08,76.6240234375,1261600
2023-03-09,77.1834716796875,3110500
2023-03-10,76.11366271972656,2895700
2023-03-13,75.67198944091797,2242400
2023-03-14,76.48661804199219,2142800
2023-03-15,75.89773559570312,1957000
2023-03-16,76.97735595703125,1962900
2023-03-17,75.34810638427734,3896500
2023-03-20,75.57386016845703,1629500
2023-03-21,75.10272979736328,2045700
2023-03-22,73.0416259765625,1863400
2023-03-23,72.04051971435547,1655400
2023-03-24,72.07977294921875,2777200
2023-03-27,73.87590026855469,3225500
2023-03-28,74.11144256591797,1752200
2023-03-29,74.4745864868164,2299500
2023-03-30,75.3971939086914,1737800
2023-03-31,77.04605865478516,2984400
2023-04-03,75.20088958740234,1894900
2023-04-04,74.61199188232422,1316200
2023-04-05,75.0831069946289,1204800
2023-04-06,75.53459167480469,1223000
2023-04-10,75.89773559570312,1485500
2023-04-11,75.98606872558594,1371500
2023-04-12,75.38736724853516,1171100
2023-04-13,75.71125793457031,1324700
2023-04-14,75.014404296875,1328400
2023-04-17,73.650146484375,1093300
2023-04-18,73.10052490234375,1235200
2023-04-19,73.36551666259766,1039300
2023-04-20,75.05367279052734,1926900
2023-04-21,75.13219451904297,1178900
2023-04-24,75.85847473144531,1094300
2023-04-25,75.50514221191406,1722400
2023-04-26,74.45496368408203,3100600
2023-04-27,75.32847595214844,1865700
2023-04-28,75.96643829345703,2233400
2023-05-01,75.62293243408203,1788300
2023-05-02,75.36773681640625,2554000
2023-05-03,75.09293365478516,1607000
2023-05-04,77.1343994140625,3830400
2023-05-05,78.01771545410156,2359300
2023-05-08,77.25218963623047,2360100
