Date,Close,Volume
,RVTY,RVTY
2010-01-04,18.95315170288086,1880200
2010-01-05,19.182714462280273,1568200
2010-01-06,19.559202194213867,1245300
2010-01-07,19.504108428955078,2581900
2010-01-08,19.678585052490234,2273200
2010-01-11,19.706130981445312,2347600
2010-01-12,19.430648803710938,2656900
2010-01-13,19.660213470458984,1352600
2010-01-14,19.88060760498047,1147700
2010-01-15,19.660213470458984,1239100
2010-01-19,19.687768936157227,2235000
2010-01-20,19.494298934936523,1301600
2010-01-21,18.867820739746094,1668900
2010-01-22,18.7664852142334,2016100
2010-01-25,18.904682159423828,796300
2010-01-26,18.950742721557617,879200
2010-01-27,18.784914016723633,1135200
2010-01-28,18.4901065826416,1114100
2010-01-29,18.55458641052246,1939600
2010-02-01,18.600645065307617,1740800
2010-02-02,19.181058883666992,1358000
2010-02-03,19.052080154418945,1190200
2010-02-04,18.259782791137695,1678300
2010-02-05,18.904682159423828,6012000
2010-02-08,19.30082130432129,2804000
2010-02-09,19.245546340942383,2224300
2010-02-10,19.070512771606445,1458100
2010-02-11,19.227128982543945,1542700
2010-02-12,19.346893310546875,1706800
2010-02-16,19.890445709228516,1879200
2010-02-17,19.890445709228516,1321900
2010-02-18,20.19447135925293,1537800
2010-02-19,20.074705123901367,985600
2010-02-22,20.618261337280273,4185600
2010-02-23,20.562986373901367,1983700
2010-02-24,20.590614318847656,1331500
2010-02-25,20.645893096923828,1302800
2010-02-26,20.46164321899414,945300
2010-03-01,21.42898941040039,3154400
2010-03-02,21.585607528686523,1398800
2010-03-03,21.50269317626953,866800
2010-03-04,21.30000877380371,775700
2010-03-05,21.917255401611328,1550400
2010-03-08,21.815929412841797,1490800
2010-03-09,21.668514251708984,1059700
2010-03-10,21.65009880065918,1226000
2010-03-11,21.613239288330078,1005000
2010-03-12,21.53032684326172,885000
2010-03-15,21.65009880065918,656600
2010-03-16,21.769855499267578,1046700
2010-03-17,22.11073112487793,1109800
2010-03-18,22.212066650390625,981100
2010-03-19,21.751434326171875,1714500
2010-03-22,22.16600799560547,1017600
2010-03-23,22.285781860351562,683400
2010-03-24,22.092302322387695,849400
2010-03-25,22.018606185913086,1186900
2010-03-26,22.11073112487793,1114000
2010-03-29,22.322622299194336,737800
2010-03-30,22.396333694458008,602900
2010-03-31,22.018606185913086,863400
2010-04-01,22.24892234802246,1344900
2010-04-05,22.294984817504883,1191900
2010-04-06,22.119945526123047,966700
2010-04-07,22.00017738342285,917000
2010-04-08,21.80671501159668,1367900
2010-04-09,21.92647933959961,2262500
2010-04-12,21.889631271362305,407400
2010-04-13,21.871196746826172,637600
2010-04-14,22.009803771972656,965100
2010-04-15,22.05599594116211,938900
2010-04-16,21.7141170501709,1475100
2010-04-19,21.658679962158203,1433800
2010-04-20,22.166872024536133,1527900
2010-04-21,22.120685577392578,1279200
2010-04-22,22.06523895263672,1726300
2010-04-23,22.019039154052734,1796700
2010-04-26,21.935867309570312,1330300
2010-04-27,21.667909622192383,2192800
2010-04-28,22.73976707458496,3567900
2010-04-29,23.211008071899414,2816600
2010-04-30,23.14632797241211,1971700
2010-05-03,23.275686264038086,1927600
2010-05-04,22.48103904724121,2066400
2010-05-05,22.176116943359375,2050000
2010-05-06,21.27059555053711,2918100
2010-05-07,20.540630340576172,5277700
2010-05-10,21.677160263061523,2027300
2010-05-11,21.30755615234375,2114400
2010-05-12,21.76031494140625,1566800
2010-05-13,21.53856086730957,1300800
2010-05-14,20.984149932861328,1847900
2010-05-17,21.04883575439453,1361400
2010-05-18,21.00262451171875,2621200
2010-05-19,21.30755615234375,3763700
2010-05-20,20.355831146240234,3621400
2010-05-21,20.33734893798828,2400800
2010-05-24,20.180267333984375,1818300
2010-05-25,20.106348037719727,3169400
2010-05-26,20.300390243530273,2328800
2010-05-27,21.32602882385254,1573500
2010-05-28,20.965673446655273,1412700
2010-06-01,20.531396865844727,1162500
2010-06-02,21.00262451171875,1395400
2010-06-03,21.252119064331055,1016500
2010-06-04,20.06938362121582,2149300
2010-06-07,19.690547943115234,1326700
2010-06-08,19.736751556396484,2716100
2010-06-09,20.13407325744629,3786500
2010-06-10,20.771635055541992,1036200
2010-06-11,20.864032745361328,767900
2010-06-14,20.74391746520996,1435500
2010-06-15,21.113523483276367,1473300
2010-06-16,21.21514892578125,1480200
2010-06-17,21.19668197631836,782200
2010-06-18,20.993389129638672,1193500
2010-06-21,21.159709930419922,1185300
2010-06-22,20.817832946777344,1432700
2010-06-23,20.54987144470215,700300
2010-06-24,19.801422119140625,2975900
2010-06-25,20.235706329345703,3739400
2010-06-28,20.161788940429688,1050300
2010-06-29,19.283981323242188,1131000
2010-06-30,19.09918212890625,921400
2010-07-01,18.304533004760742,2632500
2010-07-02,18.156692504882812,1853000
2010-07-06,18.064294815063477,1865000
2010-07-07,18.045812606811523,2686400
2010-07-08,18.230619430541992,2460400
2010-07-09,18.101253509521484,2088500
2010-07-12,17.99037742614746,1449900
2010-07-13,18.165935516357422,1880600
2010-07-14,18.03658103942871,1902100
2010-07-15,18.018098831176758,1569900
2010-07-16,17.61153221130371,1907600
2010-07-19,17.68545913696289,1800200
2010-07-20,17.76862335205078,2137000
2010-07-21,17.518220901489258,1531300
2010-07-22,18.195209503173828,2349700
2010-07-23,18.195209503173828,1359100
2010-07-26,18.53834342956543,1773700
2010-07-27,17.94481658935547,2023900
2010-07-28,18.06538200378418,2469200
2010-07-29,17.84280776977539,2569400
2010-07-30,18.046825408935547,1755600
2010-08-02,18.584714889526367,1821400
2010-08-03,18.31577491760254,1000300
2010-08-04,18.631078720092773,1492900
2010-08-05,18.5939884185791,1693700
2010-08-06,20.671321868896484,5146500
2010-08-09,20.58785057067871,2340100
2010-08-10,20.569303512573242,1874500
2010-08-11,19.957246780395508,1636300
2010-08-12,19.947965621948242,2129000
2010-08-13,19.883047103881836,1028900
2010-08-16,19.799577713012695,923900
2010-08-17,20.411659240722656,1539000
2010-08-18,20.4580135345459,735000
2010-08-19,19.985057830810547,1227300
2010-08-20,19.539918899536133,1799900
2010-08-23,19.725393295288086,881400
2010-08-24,19.085493087768555,1133800
2010-08-25,19.530635833740234,1396600
2010-08-26,19.725393295288086,2040200
2010-08-27,20.096351623535156,1391800
2010-08-30,19.51209831237793,1010000
2010-08-31,19.484272003173828,1047200
2010-09-01,20.467296600341797,3789800
2010-09-02,20.58785057067871,1181400
2010-09-03,20.77332878112793,953900
2010-09-07,20.55076026916504,1414200
2010-09-08,20.244722366333008,1167500
2010-09-09,20.430200576782227,827700
2010-09-10,20.402379989624023,774200
2010-09-13,20.624954223632812,734100
2010-09-14,20.940261840820312,1174400
2010-09-15,21.097917556762695,764700
2010-09-16,20.69914436340332,1211600
2010-09-17,20.615684509277344,1267800
2010-09-20,20.79187774658203,1862700
2010-09-21,21.060819625854492,1317200
2010-09-22,20.819704055786133,1070300
2010-09-23,20.84752082824707,789600
2010-09-24,21.487407684326172,1755600
2010-09-27,21.413223266601562,696800
2010-09-28,21.496688842773438,1627300
2010-09-29,21.34830665588379,1711300
2010-09-30,21.45958709716797,1752500
2010-10-01,21.34830665588379,2043400
2010-10-04,20.995901107788086,2250400
2010-10-05,21.635787963867188,1271800
2010-10-06,21.1164608001709,1099400
2010-10-07,21.023723602294922,1828100
2010-10-08,21.218477249145508,2016500
2010-10-11,21.580148696899414,1743800
2010-10-12,21.45958709716797,2537200
2010-10-13,21.812000274658203,1368200
2010-10-14,21.607967376708984,725100
2010-10-15,21.524520874023438,908600
2010-10-18,21.886186599731445,753200
2010-10-19,21.13501739501953,1843100
2010-10-20,21.488502502441406,1591200
