Date,Close,Volume
,BEN,BEN
2010-01-04,20.68552589416504,3746700
2010-01-05,20.846418380737305,3276600
2010-01-06,20.861722946166992,2470800
2010-01-07,20.67403221130371,3049200
2010-01-08,20.695098876953125,3692400
2010-01-11,21.147109985351562,3252900
2010-01-12,21.240968704223633,5898000
2010-01-13,21.378870010375977,3539700
2010-01-14,21.269704818725586,1731900
2010-01-15,20.744905471801758,3330300
2010-01-19,21.210330963134766,3393000
2010-01-20,20.867481231689453,2156400
2010-01-21,20.057294845581055,3979800
2010-01-22,19.39459800720215,4684500
2010-01-25,19.823625564575195,3771300
2010-01-26,19.243295669555664,3578700
2010-01-27,19.896411895751953,5362200
2010-01-28,19.21646499633789,6083700
2010-01-29,18.96747398376465,5793300
2010-02-01,19.430986404418945,3535800
2010-02-02,19.49610710144043,3034200
2010-02-03,19.50377082824707,2854200
2010-02-04,18.823827743530273,5029500
2010-02-05,18.77019691467285,6282900
2010-02-08,18.444597244262695,3813000
2010-02-09,18.620800018310547,4401600
2010-02-10,18.636127471923828,2889900
2010-02-11,18.768278121948242,2362800
2010-02-12,18.743379592895508,3818400
2010-02-16,19.149431228637695,3912000
2010-02-17,19.325641632080078,3474900
2010-02-18,19.423324584960938,3449700
2010-02-19,19.46162986755371,4464600
2010-02-22,19.41375732421875,2446200
2010-02-23,19.159011840820312,3590700
2010-02-24,19.469289779663086,3674400
2010-02-25,19.185829162597656,4352100
2010-02-26,19.482694625854492,3145800
2010-03-01,19.697216033935547,2659800
2010-03-02,19.944299697875977,3442800
2010-03-03,19.904069900512695,3160500
2010-03-04,20.24500274658203,3771600
2010-03-05,20.932600021362305,4580100
2010-03-08,20.746809005737305,3455700
2010-03-09,20.716167449951172,3471900
2010-03-10,20.576358795166016,4466700
2010-03-11,20.679784774780273,3079200
2010-03-12,20.750648498535156,1921200
2010-03-15,20.748729705810547,2312400
2010-03-16,20.865564346313477,2699400
2010-03-17,21.35014533996582,3796800
2010-03-18,21.37313461303711,3168900
2010-03-19,21.13946533203125,4360800
2010-03-22,21.340564727783203,3166800
2010-03-23,21.583810806274414,2783400
2010-03-24,21.189252853393555,3867900
2010-03-25,21.49570655822754,3882300
2010-03-26,21.25246238708496,4317000
2010-03-29,21.34841537475586,2540100
2010-03-30,21.43670082092285,3319500
